text,author,tag
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","change, deep-thoughts, thinking, world"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","abilities, choices"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","inspirational, life, live, miracle, miracles"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","aliteracy, books, classic, humor"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","be-yourself, inspirational"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","adulthood, success, value"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","life, love"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","edison, failure, inspirational, paraphrased"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>",misattributed-eleanor-roosevelt
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Albert Einstein</small>>","humor, obvious, simile"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Marilyn Monroe</small>>","friends, heartbreak, inspirational, life, love, sisters"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Marilyn Monroe</small>>","courage, friends"
"<bound method PageElement.get_text of <span class=""text"" itemprop=""text"">“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”</span>>","<bound method PageElement.get_text of <small class=""author"" itemprop=""author"">Marilyn Monroe</small>>","simplicity, understand"
